what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1429268448529
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429268595483
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429268598574
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429268944307
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429269019674
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1429269033937
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429269046491
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429269144621
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1429269144713
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1429269147728
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1429269239845
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429269304020
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429269308917
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429269491029
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429269882725
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1429269882816
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1429269883227
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1429269883336
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1429269883357
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1429269883760
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429269959915
