what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395416237183
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395416238189
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395416238835
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395416241593
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395416243087
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395416244028
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395416244634
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395416258827
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395416260616
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395416274079
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395416274900
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395416422774
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395416435603
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395416436933
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395416448130
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395416448932
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395416449788
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395416661020
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395416672871
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395416674274
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395416682367
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1395416682727
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1395416683229
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395416684827
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395416686972
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395416766826
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395416784020
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395416785651
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395416797176
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395416803090
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395416804251
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395416821344
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395416823550
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395416841351
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395416843247
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395416850892
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395416856297
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395416865425
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395416877781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395416975443
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395416983825
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395416985637
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395417000977
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395417002949
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395417022863
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395417023782
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395417031964
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1395417032296
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1395417032800
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395417033787
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395417041924
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395417059028
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395417073510
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395417099485
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395417172894
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395417252423
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395417257458
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395417264562
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395417276941
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395417285866
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395417345317
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395417511060
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395417595710
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395417604354
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395418041945
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395418133535
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395418152252
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395419197715
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395419217109
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395419509701
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395419526482
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395419527694
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395419530058
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1395419531786
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395419550631
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395419556526
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395419559441
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395419560708
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1395419561839
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1395419562542
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395419563713
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395419744849
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395419747661
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395419755170
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395419774727
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395419781754
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395419786278
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395419802741
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395419812980
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395419817072
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395419833304
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395419838697
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395419844120
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395419853753
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1395419854804
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1395419855501
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395419856691
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395419859854
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395420064020
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1395420095299
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395420096883
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1395420097424
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1395420098254
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395420099584
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395420106191
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395420131236
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395420133101
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395420143664
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395420147398
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395420159855
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395420168445
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395420200872
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395420201987
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395420220505
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395420228738
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395420231597
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1395421034345
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395421075739
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1395421080528
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1395421086766
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395421102055
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1395421104704
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1395421105999
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1395421115605
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1395421115781
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1395421115808
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1395421133924
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1395421139892
