what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425773100697
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425773102445
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425773104649
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425773110522
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425773115268
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425773116692
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425773217342
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1425773238850
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425773240599
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425773279981
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1425773329720
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1425773339399
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425773343982
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425773365847
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425773505381
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425773668670
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1425773696065
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425773699337
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1425773700229
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1425773800091
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1425773804210
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425773806218
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425773841974
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1425773916346
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425773919138
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1425773942325
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425773944374
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425773952588
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425774129575
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425774323919
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1425774472765
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425774478018
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425774478090
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425774479774
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1425774486446
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425774488716
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425774496179
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425774498568
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425774630579
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425774634533
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425774727534
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425774731301
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425774768258
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425777216142
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1425777246122
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1425777266190
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425777269554
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425777367421
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425777369403
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1425777372703
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425777381840
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1425777383455
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425777385821
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1425777471611
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425777472954
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1425777483769
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425777488326
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1425777541870
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1425777543232
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425777546457
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1425777547292
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1425777564716
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425777628449
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425777629248
