Timestamp  2.0, total num  52: 
 1,17
15,16
16,17
2,18
8,9
2,7
12,17
2,3
14,15
9,17
2,14
9,13
4,5
2,10
3,6
3,19
14,19
12,13
5,17
3,15
0,12
5,13
13,18
6,10
3,11
10,11
6,14
6,18
4,9
7,19
10,19
7,15
10,15
0,1
13,14
7,11
0,5
1,8
5,8
0,9
1,4
8,16
6,7
11,16
8,12
1,13
4,12
11,12
17,18
4,16
0,16
18,19

Timestamp  3.0, total num  1: 
 0,1

Timestamp  4.0, total num  1: 
 0,1

Timestamp  6.0, total num  1: 
 0,1

Timestamp  7.0, total num  1: 
 0,1

Timestamp  8.0, total num  1: 
 0,1

Timestamp  9.0, total num  1: 
 0,1

Timestamp  10.0, total num  1: 
 0,1

Timestamp  11.0, total num  1: 
 0,1

Timestamp  12.0, total num  1: 
 0,1

Timestamp  13.0, total num  1: 
 0,1

Timestamp  14.0, total num  1: 
 0,1

Timestamp  15.0, total num  1: 
 0,1

Timestamp  16.0, total num  1: 
 0,1

Timestamp  17.0, total num  1: 
 0,1

Timestamp  18.0, total num  1: 
 0,1

Timestamp  19.0, total num  1: 
 0,1

Timestamp  20.0, total num  1: 
 0,1

Timestamp  21.0, total num  1: 
 0,1

Timestamp  22.0, total num  1: 
 0,1

Timestamp  23.0, total num  1: 
 0,1

Timestamp  24.0, total num  1: 
 0,1

Timestamp  25.0, total num  1: 
 0,1

Timestamp  26.0, total num  1: 
 0,1

